City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
18,Alofi,NU,76.44,broken clouds,-19.0595,-169.9187,Taloa Heights
19,Campo Largo,BR,70.66,scattered clouds,-25.4586,-49.5283,Hotel Campo Largo Express
20,Butaritari,KI,79.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
21,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Union,US,71.51,clear sky,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
23,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Manokwari,ID,77.74,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
25,Vaini,TO,77.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
33,Todos Santos,MX,80.31,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
34,Alexandria,EG,70.41,light rain,31.2156,29.9553,فندق قاعود
36,Rikitea,PF,74.08,broken clouds,-23.1203,-134.9692,People ThankYou
37,Atuona,PF,78.04,clear sky,-9.8,-139.0333,Villa Enata
43,Castro,BR,72.52,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
47,Samarai,PG,80.78,overcast clouds,-10.6167,150.6667,Nuli Sapi
50,Kavieng,PG,82.02,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
52,Arraial Do Cabo,BR,76.86,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
54,Bengkulu,ID,75.02,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
61,Phuket,TH,85.12,few clouds,8.0,98.25,The Surin
68,Padang,ID,75.87,light rain,-0.9492,100.3543,Mercure Padang
70,Vao,NC,73.04,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
72,Mecca,SA,79.61,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
73,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Fengshui Residence
77,Hilo,US,80.11,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
82,Kathu,TH,84.74,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
90,Kahului,US,78.82,moderate rain,20.8947,-156.47,Maui Seaside Hotel
92,Naze,JP,73.02,light rain,28.3667,129.4833,Shishime Hotel
97,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
118,Hithadhoo,MV,81.48,few clouds,-0.6,73.0833,Scoop Guest House
119,Trinidad,BO,89.58,broken clouds,-14.8333,-64.9,Hotel Piesta
134,Maracaibo,VE,82.99,overcast clouds,10.6317,-71.6406,Motel Aladdin
138,Acaponeta,MX,85.21,clear sky,22.4964,-105.3594,Hotel Casa Blanca
149,Simpang,ID,74.07,moderate rain,-1.2667,104.0833,Budidaya Pembesaran Ikan
150,Riyadh,SA,75.34,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
153,Gat,IL,71.4,clear sky,31.61,34.7642,OlusHome
158,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
163,Ambilobe,MG,76.08,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
165,Westport,US,70.18,clear sky,41.1415,-73.3579,The Westport Inn
171,Honiara,SB,78.26,overcast clouds,-9.4333,159.95,Heritage Park Hotel
173,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
174,Richards Bay,ZA,74.98,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
177,Sao Filipe,CV,77.31,clear sky,14.8961,-24.4956,Hotel Xaguate
186,Mpulungu,ZM,72.12,light rain,-8.7623,31.1141,Chela moche guest house
190,Auki,SB,77.94,scattered clouds,-8.7676,160.7034,Auki Motel
191,Amahai,ID,78.84,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
196,Isla Mujeres,MX,86.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
198,Saint-Philippe,RE,71.19,clear sky,-21.3585,55.7679,Le four à pain
200,Dingle,PH,75.85,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
206,Aswan,EG,73.13,clear sky,24.0934,32.907,Nuba Nile
207,Kalmunai,LK,74.68,moderate rain,7.4167,81.8167,VS Villa
214,Hobyo,SO,81.14,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
216,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
