City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Punta Arenas,CL,-53.15,-70.9167,57.31,51,20,8.05,few clouds
1,Hermanus,ZA,-34.4187,19.2345,64.8,85,0,13.02,light rain
2,Nichlaul,IN,27.3167,83.7333,61.68,65,0,2.59,clear sky
3,Ust-Tsilma,RU,65.441,52.1498,24.93,95,100,9.24,light snow
4,Severo-Kurilsk,RU,50.6789,156.125,33.73,64,97,13.42,overcast clouds
5,Taua,BR,-5.9667,-40.3,91.65,29,42,10.09,scattered clouds
6,Jamestown,US,42.097,-79.2353,42.39,77,100,8.99,light rain
7,Saint-Raymond,CA,45.467,-73.6095,55.38,79,75,17.27,broken clouds
8,Ilulissat,GL,69.2167,-51.1,24.82,68,99,3.44,overcast clouds
9,Agirish,RU,61.9247,63.0231,6.62,96,97,5.3,overcast clouds
10,Ada,US,43.4166,-116.1262,35.29,65,75,3.44,broken clouds
11,Bluff,NZ,-46.6,168.3333,53.02,83,100,8.52,overcast clouds
12,Qaanaaq,GL,77.484,-69.3632,-0.02,68,75,4.63,broken clouds
13,Sabha,LY,27.0377,14.4283,62.26,33,0,6.49,clear sky
14,Palmer,US,42.1584,-72.3287,66.33,59,20,17.27,few clouds
15,Thoen,TH,17.6129,99.2161,67.59,81,100,2.19,overcast clouds
16,Norman Wells,CA,65.282,-126.8329,18.46,93,100,3.42,overcast clouds
17,Bredasdorp,ZA,-34.5322,20.0403,63.36,74,0,16.42,clear sky
18,Alofi,NU,-19.0595,-169.9187,76.44,75,76,19.64,broken clouds
19,Campo Largo,BR,-25.4586,-49.5283,70.66,53,47,1.99,scattered clouds
20,Butaritari,KI,3.0707,172.7902,79.79,77,100,15.66,overcast clouds
21,Kapaa,US,22.0752,-159.319,82.38,68,100,19.57,overcast clouds
22,Union,US,40.6334,-74.2663,71.51,59,0,8.05,clear sky
23,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,39,5.99,scattered clouds
24,Manokwari,ID,-0.8667,134.0833,77.74,82,100,6.04,moderate rain
25,Vaini,TO,-21.2,-175.2,77.36,86,84,20.54,broken clouds
26,Haines Junction,CA,60.7522,-137.5108,30.43,88,31,6.91,scattered clouds
27,Krasnyy Yar,RU,46.5331,48.3456,44.53,85,69,12.19,broken clouds
28,New Norfolk,AU,-42.7826,147.0587,51.93,68,100,1.68,overcast clouds
29,Port Elizabeth,ZA,-33.918,25.5701,65.1,94,100,5.01,heavy intensity rain
30,Avarua,CK,-21.2078,-159.775,77.05,61,20,9.22,few clouds
31,Yellowknife,CA,62.456,-114.3525,16.32,100,100,4.61,light snow
32,Ponta Do Sol,PT,32.6667,-17.1,68.72,86,100,1.95,overcast clouds
33,Todos Santos,MX,23.45,-110.2167,80.31,60,39,8.68,scattered clouds
34,Alexandria,EG,31.2156,29.9553,70.41,68,5,10.58,light rain
35,Boysun,UZ,38.2061,67.1986,42.4,53,92,5.5,overcast clouds
36,Rikitea,PF,-23.1203,-134.9692,74.08,86,71,18.14,broken clouds
37,Atuona,PF,-9.8,-139.0333,78.04,77,1,15.79,clear sky
38,Caravelas,BR,-17.7125,-39.2481,77.85,76,58,9.69,broken clouds
39,Kitimat,CA,54.0524,-128.6534,33.91,29,100,0.56,overcast clouds
40,Ushuaia,AR,-54.8,-68.3,58.66,33,0,5.75,clear sky
41,Pokrovsk,UA,48.282,37.1758,43.57,77,4,14.56,clear sky
42,Churapcha,RU,62.0025,132.4325,3.22,96,100,12.37,light snow
43,Castro,BR,-24.7911,-50.0119,72.52,68,66,4.29,broken clouds
44,Busselton,AU,-33.65,115.3333,52.79,80,70,10.83,broken clouds
45,Tasiilaq,GL,65.6145,-37.6368,35.76,79,100,23.15,light rain
46,Pemangkat,ID,1.1667,108.9667,76.75,87,97,4.54,overcast clouds
47,Samarai,PG,-10.6167,150.6667,80.78,78,100,12.86,overcast clouds
48,Batangafo,CF,7.3008,18.2833,77.45,50,50,2.98,scattered clouds
49,Bambous Virieux,MU,-20.3428,57.7575,69.22,68,1,9.46,clear sky
50,Kavieng,PG,-2.5744,150.7967,82.02,77,100,11.72,overcast clouds
51,Port Alfred,ZA,-33.5906,26.891,63.18,97,100,1.01,overcast clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,40,17.27,scattered clouds
53,Provideniya,RU,64.3833,-173.3,13.37,76,3,8.77,clear sky
54,Bengkulu,ID,-3.8004,102.2655,75.02,93,100,3.42,light rain
55,Ancud,CL,-41.8697,-73.8203,54.41,90,100,8.21,light rain
56,Oksbol,DK,55.6268,8.2876,50.11,95,44,8.57,scattered clouds
57,Ati,TD,13.2154,18.3353,84.16,20,0,14.79,clear sky
58,Cape Town,ZA,-33.9258,18.4232,63.88,89,1,5.01,light rain
59,Port Lincoln,AU,-34.7333,135.8667,59.94,83,100,18.54,overcast clouds
60,Sorong,ID,-0.8833,131.25,78.53,85,97,6.62,overcast clouds
61,Phuket,TH,8.0,98.25,85.12,93,20,2.3,few clouds
62,Vostok,RU,46.4856,135.8833,24.75,97,100,4.25,light snow
63,Masvingo,ZW,-20.0637,30.8277,68.86,77,100,2.84,overcast clouds
64,Hobart,AU,-42.8794,147.3294,52.27,76,75,0.0,broken clouds
65,Leningradskiy,RU,69.3833,178.4167,-5.01,88,82,5.53,broken clouds
66,Stornoway,GB,58.2093,-6.3865,55.36,91,75,14.97,broken clouds
67,Tezu,IN,27.9167,96.1667,63.0,56,90,3.33,overcast clouds
68,Padang,ID,-0.9492,100.3543,75.87,95,100,2.48,light rain
